GISPROPNUM,SIGNNAME,NAME311,BOROUGH,ADDRESS,LOCATION,ACRES,TYPECATEGORY,SUBCATEGORY,WATERFRONT,ZIPCODE,COMMUNITYBOARD,COUNCILDISTRICT,JURISDICTION,RETIRED,PARK_NAME,LATITUDE,LONGITUDE
M113,Joseph C. Sauer Park,Joseph C. Sauer Park,Manhattan,532 EAST 12 STREET,E. 12 St. bet. Ave. A and Ave. B,0.403,Neighborhood Park,Neighborhood Plgd,False,10009,103,2,DPR,False,Joseph C. Sauer Park,40.72817257654904,-73.97973450288063
Q084B,Tepper Triangle,Tepper Triangle,Queens,,"GCP Service Rd. South, 173 St., Homelawn St.",0.2,Triangle/Plaza,Sitting Area/Triangle/Mall,False,11432,408,24,DPR,False,Tepper Triangle,40.718724066474735,-73.79162171047385
R063,Old Town Playground,Old Town Playground,Staten Island,255 PARKINSON AVENUE,Parkinson Ave. at Kramer St.,1.534,Playground,JOP,False,10305,502,50,DPR,False,Old Town Playground,40.595394766723054,-74.08136110413318
M125A,Minetta Green,Minetta Green,Manhattan,294 6 AVENUE,S/e Corner Minetta Lane and Ave. of Americas,0.056,Triangle/Plaza,Sitting Area/Triangle/Mall,False,10012,102,2,DPR,False,Minetta Green,40.730318849941966,-74.00160890667028
M124,First Park,First Park,Manhattan,2 2 AVENUE,"Houston St., E. 1 St., 1 Ave.",0.763,Neighborhood Park,Neighborhood Plgd,False,10003,103,2,DPR,False,First Park,40.7235177934431,-73.98963947135479
M122,Captain Jacob Joseph Playground,Captain Jacob Joseph Playground,Manhattan,13 HENRY STREET,Rutgers St. and Henry St.,0.135,Playground,Neighborhood Plgd,False,10002,103,1,DPR,False,Captain Jacob Joseph Playground,40.71358820350991,-73.98981672318817
B446,Big Red Garden,Big Red Garden,Brooklyn,436 VAN SICLEN AVENUE,Van Siclen Ave. and Blake Ave.,0.043,Garden,Greenthumb,False,11207,305,42,DPR,False,Big Red Garden,40.668734671695375,-73.88958384059845
B045,Heisser Triangle,Heisser Triangle,Brooklyn,1424 MYRTLE AVENUE,"Knickerbocker Ave., Myrtle Ave., Bleecker St.",0.027,Triangle/Plaza,Sitting Area/Triangle/Mall,False,11237,304,37,DPR,False,Heisser Triangle,40.69873165784295,-73.91790188513005
X204,Story Playground,Story Playground,Bronx,880 LAFAYETTE AVENUE,Story Ave. bet. Taylor Ave. and Thieriot Ave.,2.075,Jointly Operated Playground,JOP,False,10473,209,18,DPR/DOE,False,Story Playground,40.82291343573624,-73.86284389225548
B023,Lafayette Playground,Lafayette Playground,Brooklyn,1037-1063 LAFAYETTE AVENUE,Lafayette Ave. bet. Malcolm X Blvd. and Patch Ave.,0.517,Playground,Neighborhood Plgd,False,11221,303,36,DPR,False,Lafayette Playground,40.69255632892053,-73.9300661494842
B384,Fresh Creek Nature Preserve,Fresh Creek Nature Preserve,Brooklyn,"Flatlands Ave, Louisiana Ave., E 108 St. and Belt Parkway","Flatlands Ave, Louisiana Ave., E 108 St. and Belt Parkway",77.044,Nature Area,Large Park,True,"11236, 11239",318,"42, 46",DPR,False,Fresh Creek Nature Preserve,40.64397904389672,-73.88446837073622
Q457,College Point Park,College Point Park,Queens,14 Ave. bet. 121 St. and College Point Blvd.,14 Ave. bet. 121 St. and College Point Blvd.,0.659,Recreational Field/Courts,Neighborhood Plgd,False,11356,407,19,DPR,False,College Point Park,40.78562391381971,-73.84648500384941
Q440,Hilton Holiday Gardens,Hilton Holiday Gardens,Queens,"133 Ave., 135 Ave. bet. 143 St. and 145 St.","133 Ave., 135 Ave. bet. 143 St. and 145 St.",1.2,Recreational Field/Courts,Undeveloped,False,11436,412,28,DPR,False,Hilton Holiday Gardens,40.66865894015933,-73.7954718771868
R065,Richmond Parkway,Richmond Parkway,Staten Island,Staten Island Exwy. To West Shore Exwy.,Staten Island Exwy. To West Shore Exwy.,350.983,Parkway,Large Park,False,"10301, 10304, 10306, 10309, 10312, 10314","502,503","50, 51",DPR,False,Richmond Parkway,40.570623931904066,-74.15025764759305
Q095,Vito Locascio Field,Vito Locascio Field,Queens,"N. Conduit Ave., 149 Ave., Cross Bay Blvd.","N. Conduit Ave., 149 Ave., Cross Bay Blvd.",3.258,Recreational Field/Courts,Neighborhood Park,False,11417,410,32,DPR,False,Vito Locascio Field,40.66995841580807,-73.8437198169314
Q299,Overlook Park,Overlook Park,Queens,"Ditmars Blvd., 22 Dr. bet. 97 St. and 100 St.","Ditmars Blvd., 22 Dr. bet. 97 St. and 100 St.",2.327,Nature Area,Sitting Area/Triangle/Mall,False,11369,403,21,DPR,False,Overlook Park,40.770471143572365,-73.87236938452979
Q096,Belt Parkway,Belt Parkway,Queens,Belt Pkwy. bet. Cross Bay Blvd. and Laurelton Pkwy.,Belt Pkwy. bet. Cross Bay Blvd. and Laurelton Pkwy.,202.647,Parkway,EXWY,False,"11413, 11414, 11420, 11430, 11434","410,412,413","28, 31",DPR,False,Belt Parkway,40.666458552910534,-73.78993059753358
B178,Flatbush Malls,Flatbush Malls,Brooklyn,Glenwood Rd. bet. E. 23 St. and Coney Island Ave.,Glenwood Rd. bet. E. 23 St. and Coney Island Ave.,0.73,Mall,Sitting Area/Triangle/Mall,False,"11210, 11230",314,45,DPR/CDOT,False,Flatbush Malls,40.63253008072646,-73.96113372112238
X148G2,Park,Park,Bronx,S/B Cross Bronx Exwy bet. Arthur Av and Crotona Av,S/B Cross Bronx Exwy bet. Arthur Av and Crotona Av,0.046,Strip,EXWY,False,10457,206,15,DPR,False,Park,40.84331552257373,-73.8938267878468
X086,Charlton-Thompson Garden,Charlton-Thompson Garden,Bronx,596 EAST 164 STREET,E 164 St bet. Cauldwell Av and Boston Rd,0.488,Neighborhood Park,Neighborhood Park,False,10456,203,17,DPR,False,Charlton-Thompson Garden,40.82468057574062,-73.9071028067672
X251,Co-op City Field,Co-op City Field,Bronx,Co-op City Blvd. and the Hutch. River bet. Carver Loop and Bellamy Loop,Co-op City Blvd. and the Hutch. River bet. Carver Loop and Bellamy Loop,3.4,Recreational Field/Courts,Neighborhood Park,False,10475,210,12,DPR,False,Co-op City Field,40.87581525949929,-73.82363421527084
X145,La Finca del Sur Community Garden,La Finca del Sur Community Garden,Bronx,E. 138 St. at Grand Concourse,E. 138 St. at Grand Concourse,0.255,Garden,Community Garden,False,10451,201,8,DPR,False,La Finca del Sur Community Garden,40.8126722469691,-73.93018246925469
M108H,Park,Park,Manhattan,E. 93 St. and FDR Dr.,E. 93 St. and FDR Dr.,0.034,Triangle/Plaza,Sitting Area/Triangle/Mall,False,10128,108,8,DPR/CDOT,False,Park,40.7807225673434,-73.94441202878248
