PARK_NAME,BOROUGH,TYPECATEGORY,ACRES
Freshkills Park,Staten Island,Community Park,953.065
Flushing Meadows Corona Park,Queens,Flagship Park,870.761
Central Park,Manhattan,Flagship Park,840.01
Marine Park,Brooklyn,Community Park,800.0
LaTourette Park & Golf Course,Staten Island,Flagship Park,760.79
Belt Parkway/Shore Parkway,Brooklyn,Parkway,760.43
Bronx Park,Bronx,Flagship Park,718.373
Franklin D. Roosevelt Boardwalk and Beach,Staten Island,Waterfront Facility,644.35
Alley Pond Park,Queens,Flagship Park,635.514
Prospect Park,Brooklyn,Flagship Park,526.25
Forest Park,Queens,Flagship Park,506.86
Rockaway Beach and Boardwalk,Queens,Waterfront Facility,498.154
Ferry Point Park,Bronx,Flagship Park,413.8
Coney Island Beach & Boardwalk,Brooklyn,Waterfront Facility,399.473
Rockaway Beach Boardwalk,Queens,Waterfront Facility,376.2
